Rand1, Rand2, rabbits,wolves,height, prec, temp
0.000000,0.000000,2,0,10.160000,0.000000,-17.777778
-9.990570,1.198079,2,1,5.080000,16.026506,2.148497
6.692179,-1.572316,1,2,0.144129,14.291388,16.397667
5.268847,0.538301,0,1,47.208092,16.402004,21.358460
-1.442900,1.999073,1,0,63.313771,16.827499,22.610686
3.442661,-0.662742,1,1,70.122527,12.372535,28.200658
-4.980056,0.236061,2,0,67.860756,11.200785,23.521368
-5.129701,-0.658341,2,1,68.791959,8.513231,20.562464
0.876021,-0.888641,2,2,80.398629,7.247656,18.917999
5.706996,-0.600323,3,1,97.642121,7.535973,15.850343
-4.824224,1.857122,3,2,123.378341,11.028694,5.018692
7.180756,-1.395024,3,3,117.032624,9.569700,8.812353
6.445696,-0.980720,4,2,118.980083,12.054556,8.403990
9.250511,1.793151,4,3,118.147469,16.621578,12.837986
-2.713802,1.914150,3,4,145.320917,17.777853,11.172121
8.577667,1.439404,4,3,161.333466,17.303108,23.196695
8.248560,1.452061,4,4,158.042698,16.280487,27.994830
0.908628,1.893026,5,3,148.203308,14.928303,26.792861
-8.813568,-1.685586,5,4,136.345205,9.279138,21.391640
7.878159,0.036540,5,5,137.129033,9.208113,27.789052
1.984138,-1.457316,6,4,124.745457,6.678980,19.533619
8.067406,0.277762,6,5,127.305369,8.414058,17.161681
2.583676,0.475003,6,6,146.267516,9.646575,9.134191
2.600031,1.933306,7,5,142.077113,12.898030,6.267505
2.427673,-0.928736,7,6,127.364028,12.106541,6.171754
4.963612,0.991875,7,7,112.410522,15.820302,10.456376
9.318123,1.599436,8,6,115.794667,17.463140,17.856522
5.271585,0.243637,8,7,133.430489,16.107340,21.359982
-0.406494,0.714341,8,8,129.422265,15.542768,23.186467
-1.083590,1.787395,9,7,116.621137,14.822672,25.686073
-2.317450,-1.096507,9,8,95.575988,9.868217,25.000593
9.575413,-0.078565,9,9,75.095310,9.093007,28.731969
-4.955186,-1.700001,10,8,52.379283,6.436296,15.678440
-3.411671,0.382893,10,9,55.633794,8.519190,10.784416
-1.463231,1.884014,10,10,48.226339,11.055586,6.885910
-3.302738,0.003966,11,9,26.905649,10.968691,2.988190
-1.923405,0.051263,9,10,0.000000,13.086539,3.754489
-9.792800,0.704946,8,9,0.000000,15.533373,2.258369
3.715179,0.560347,7,8,0.000000,16.424051,14.743777
1.508900,-0.127153,6,7,29.109086,15.736550,19.269604
2.064390,-0.156800,7,6,45.394991,14.671627,24.559182
3.875952,-0.864559,7,7,31.272820,12.170717,28.441374
2.160720,1.719725,8,6,13.719230,12.684449,27.488467
-1.161092,1.483785,6,7,0.000000,10.655357,22.767245
0.617952,1.446310,5,6,0.000000,9.582606,18.774626
-0.254227,-1.223526,4,5,17.174950,6.912770,12.538552
-3.775051,1.178241,5,4,29.904793,10.349813,5.601565
9.762901,-0.366579,5,5,18.998714,10.598145,10.246879
3.871507,-1.218341,6,4,24.455998,11.816935,6.973883
4.306301,-0.314054,6,5,13.671491,14.514373,10.091203
-2.100231,0.028157,4,6,17.687326,15.891860,11.512994
7.766882,0.208600,5,5,36.391878,16.072304,22.746260
-5.245510,0.166244,6,4,32.804587,14.994671,20.498127
-5.343582,1.132682,6,5,40.358709,14.167958,23.319410
5.078352,0.875470,6,6,32.322630,11.840194,29.109374
5.086383,-1.576085,7,5,17.208712,7.595488,26.238064
5.184194,0.572019,5,6,0.264284,8.708315,21.311429
4.716440,-0.152334,4,5,0.688544,7.983962,15.300034
-2.183834,0.108693,3,4,25.827513,9.280266,6.485575
-1.091192,1.090513,4,3,21.036066,12.055237,4.216826
-7.604889,1.855638,3,4,11.635266,14.890915,0.598109
-8.520719,0.275242,4,3,4.051104,15.103669,2.965082
-5.437340,0.134466,2,4,0.000000,15.998169,9.659044
-2.375293,0.841918,1,3,10.742910,16.705622,17.111717
-4.878247,1.038967,2,2,51.854136,15.867394,20.702159
1.310538,0.812636,3,1,67.571554,13.847913,27.016144
8.392933,1.636574,3,2,60.671980,12.601297,30.950809
7.088703,-1.589355,3,3,53.075011,7.582217,27.350464
9.869459,-1.468988,4,2,45.826045,6.667309,23.914354
-3.858898,0.078748,4,3,38.750702,8.215044,10.535956
3.307799,-0.182580,4,4,44.659454,8.988993,9.536482
-3.129249,0.857943,5,3,46.718146,11.822667,3.084573
